,State,Date,Week,Calendar_year,Deathincrease,Hospitalizedincrease,Negativeincrease,Positiveincrease,Totaltestresultsincrease
1,Alaska,2020-03-07,10,2020,0.0,0.0,4.0,0.0,4.0
2,Alaska,2020-03-08,11,2020,0.0,0.0,2.0,0.0,2.0
3,Alaska,2020-03-09,11,2020,0.0,0.0,9.0,0.0,9.0
4,Alaska,2020-03-10,11,2020,0.0,0.0,0.0,0.0,0.0
5,Alaska,2020-03-11,11,2020,0.0,0.0,23.0,0.0,23.0
6,Alaska,2020-03-12,11,2020,0.0,0.0,0.0,0.0,0.0
7,Alaska,2020-03-13,11,2020,0.0,0.0,13.0,1.0,14.0
8,Alaska,2020-03-14,11,2020,0.0,0.0,84.0,0.0,84.0
9,Alaska,2020-03-15,12,2020,0.0,0.0,0.0,0.0,0.0
10,Alaska,2020-03-16,12,2020,0.0,0.0,0.0,0.0,0.0
11,Alaska,2020-03-17,12,2020,0.0,0.0,191.0,2.0,193.0
12,Alaska,2020-03-18,12,2020,0.0,0.0,72.0,3.0,75.0
13,Alaska,2020-03-19,12,2020,0.0,0.0,26.0,0.0,26.0
14,Alaska,2020-03-20,12,2020,0.0,0.0,254.0,6.0,260.0
15,Alaska,2020-03-21,12,2020,0.0,0.0,72.0,2.0,74.0
16,Alaska,2020-03-22,13,2020,0.0,0.0,188.0,8.0,196.0
17,Alaska,2020-03-23,13,2020,0.0,0.0,0.0,0.0,0.0
18,Alaska,2020-03-24,13,2020,0.0,0.0,40.0,14.0,54.0
19,Alaska,2020-03-25,13,2020,1.0,1.0,663.0,6.0,669.0
20,Alaska,2020-03-26,13,2020,0.0,2.0,152.0,17.0,169.0
21,Alaska,2020-03-27,13,2020,0.0,0.0,518.0,10.0,528.0
22,Alaska,2020-03-28,13,2020,1.0,2.0,517.0,16.0,533.0
23,Alaska,2020-03-29,14,2020,0.0,1.0,396.0,17.0,413.0
24,Alaska,2020-03-30,14,2020,1.0,1.0,308.0,12.0,320.0
25,Alaska,2020-03-31,14,2020,0.0,0.0,54.0,5.0,59.0
26,Alaska,2020-04-01,14,2020,0.0,2.0,876.0,14.0,890.0
27,Alaska,2020-04-02,14,2020,0.0,0.0,409.0,10.0,419.0
28,Alaska,2020-04-03,14,2020,0.0,6.0,980.0,14.0,994.0
29,Alaska,2020-04-04,14,2020,2.0,1.0,10.0,14.0,24.0
30,Alaska,2020-04-05,15,2020,1.0,4.0,230.0,14.0,244.0
31,Alaska,2020-04-06,15,2020,0.0,3.0,593.0,6.0,599.0
32,Alaska,2020-04-07,15,2020,0.0,0.0,8.0,22.0,30.0
33,Alaska,2020-04-08,15,2020,1.0,4.0,142.0,13.0,155.0
34,Alaska,2020-04-09,15,2020,0.0,0.0,146.0,9.0,155.0
36,Alabama,2020-03-08,11,2020,0.0,0.0,0.0,0.0,0.0
37,Alabama,2020-03-09,11,2020,0.0,0.0,0.0,0.0,0.0
38,Alabama,2020-03-10,11,2020,0.0,0.0,0.0,0.0,0.0
39,Alabama,2020-03-11,11,2020,0.0,0.0,10.0,0.0,10.0
40,Alabama,2020-03-12,11,2020,0.0,0.0,0.0,0.0,0.0
